time_yr,degradation,hydro,max_FI
0.0,optimistic,P95,0.0196029758957834
0.5,optimistic,P95,0.0096863187308583
1.0,optimistic,P95,0.0151073225381574
1.5,optimistic,P95,0.015075003769881
2.0,optimistic,P95,0.014185342266181
2.5,optimistic,P95,0.0132095588345811
3.0,optimistic,P95,0.0129932642220937
3.5,optimistic,P95,0.0136053879765769
4.0,optimistic,P95,0.0148019263777752
4.5,optimistic,P95,0.0164182759633017
5.0,optimistic,P95,0.0184036230238418
5.5,optimistic,P95,0.020778868606816
6.0,optimistic,P95,0.0236101602965996
6.5,optimistic,P95,0.027000984749519
7.0,optimistic,P95,0.0310960325311501
7.5,optimistic,P95,0.0360938533672024
8.0,optimistic,P95,0.0422691047254986
8.5,optimistic,P95,0.0500086153421011
9.0,optimistic,P95,0.0598700645909572
9.5,optimistic,P95,0.0726801793433562
10.0,optimistic,P95,0.0897055877053215
0.0,optimistic,median,0.0001322550849709
0.5,optimistic,median,0.0001381516989907
1.0,optimistic,median,0.0010279090905282
1.5,optimistic,median,0.0037859187879794
2.0,optimistic,median,0.0104506186247059
2.5,optimistic,median,0.0132095588345811
3.0,optimistic,median,0.0129932642220937
3.5,optimistic,median,0.0136053879765769
4.0,optimistic,median,0.0148019263777752
4.5,optimistic,median,0.0164182759633017
5.0,optimistic,median,0.0184036230238418
5.5,optimistic,median,0.020778868606816
6.0,optimistic,median,0.0236101602965996
6.5,optimistic,median,0.027000984749519
7.0,optimistic,median,0.0310960325311501
7.5,optimistic,median,0.0360938533672024
8.0,optimistic,median,0.0422691047254986
8.5,optimistic,median,0.0500086153421011
9.0,optimistic,median,0.0598700645909572
9.5,optimistic,median,0.0726801793433562
10.0,optimistic,median,0.0897055877053215
0.0,baseline,P95,0.0196029758957834
0.5,baseline,P95,0.0099813110534983
1.0,baseline,P95,0.0160415071914651
1.5,baseline,P95,0.0164946814517721
2.0,baseline,P95,0.0159939287436737
2.5,baseline,P95,0.0153473177853354
3.0,baseline,P95,0.0155557615302906
3.5,baseline,P95,0.0167846686438924
4.0,baseline,P95,0.0188169363308699
4.5,baseline,P95,0.021507357854262
5.0,baseline,P95,0.0248422926300906
5.5,baseline,P95,0.0289027439776113
6.0,baseline,P95,0.0338411372356262
6.5,baseline,P95,0.0398799358909948
7.0,baseline,P95,0.0473269660446696
7.5,baseline,P95,0.0566064300570579
8.0,baseline,P95,0.0683100181504876
8.5,baseline,P95,0.0832789068006673
9.0,baseline,P95,0.1027374416774345
9.5,baseline,P95,0.1285179664250803
10.0,baseline,P95,0.1634542378580147
0.0,baseline,median,0.0001322550849709
0.5,baseline,median,0.0001423590445984
1.0,baseline,median,0.0010914714388497
1.5,baseline,median,0.0041424549780033
2.0,baseline,median,0.0117830395963967
2.5,baseline,median,0.0153473177853354
3.0,baseline,median,0.0155557615302906
3.5,baseline,median,0.0167846686438924
4.0,baseline,median,0.0188169363308699
4.5,baseline,median,0.021507357854262
5.0,baseline,median,0.0248422926300906
5.5,baseline,median,0.0289027439776113
6.0,baseline,median,0.0338411372356262
6.5,baseline,median,0.0398799358909948
7.0,baseline,median,0.0473269660446696
7.5,baseline,median,0.0566064300570579
8.0,baseline,median,0.0683100181504876
8.5,baseline,median,0.0832789068006673
9.0,baseline,median,0.1027374416774345
9.5,baseline,median,0.1285179664250803
10.0,baseline,median,0.1634542378580147
0.0,pessimistic,P95,0.0196029758957834
0.5,pessimistic,P95,0.0103886560850328
1.0,pessimistic,P95,0.0173775572865382
1.5,pessimistic,P95,0.0185977014046563
2.0,pessimistic,P95,0.0187690492505635
2.5,pessimistic,P95,0.0187452562733901
3.0,pessimistic,P95,0.0197752486280138
3.5,pessimistic,P95,0.0222082954729733
4.0,pessimistic,P95,0.0259133254609829
4.5,pessimistic,P95,0.0308271286420675
5.0,pessimistic,P95,0.0370603456915297
5.5,pessimistic,P95,0.0448774992088481
6.0,pessimistic,P95,0.0546897956276147
6.5,pessimistic,P95,0.0670791548369546
7.0,pessimistic,P95,0.0828540179769096
7.5,pessimistic,P95,0.1031436404300928
8.0,pessimistic,P95,0.1295486432874773
8.5,pessimistic,P95,0.1643823796986616
9.0,pessimistic,P95,0.2110672121589514
9.5,pessimistic,P95,0.274806911513248
10.0,pessimistic,P95,0.3637740962883367
0.0,pessimistic,median,0.0001322550849709
0.5,pessimistic,median,0.0001481688274217
1.0,pessimistic,median,0.0011823768944431
1.5,pessimistic,median,0.0046706049455026
2.0,pessimistic,median,0.0138275250596962
2.5,pessimistic,median,0.0187452562733901
3.0,pessimistic,median,0.0197752486280138
3.5,pessimistic,median,0.0222082954729733
4.0,pessimistic,median,0.0259133254609829
4.5,pessimistic,median,0.0308271286420675
5.0,pessimistic,median,0.0370603456915297
5.5,pessimistic,median,0.0448774992088481
6.0,pessimistic,median,0.0546897956276147
6.5,pessimistic,median,0.0670791548369546
7.0,pessimistic,median,0.0828540179769096
7.5,pessimistic,median,0.1031436404300928
8.0,pessimistic,median,0.1295486432874773
8.5,pessimistic,median,0.1643823796986616
9.0,pessimistic,median,0.2110672121589514
9.5,pessimistic,median,0.274806911513248
10.0,pessimistic,median,0.3637740962883367
