time_yr,segment,safety_factor,width_m
0.0,INF,50.0,1.5
0.5,INF,50.0,1.5
1.0,INF,50.0,1.5
1.5,INF,50.0,1.5
2.0,INF,50.0,1.5
2.5,INF,50.0,1.5
3.0,INF,50.0,1.5
3.5,INF,50.0,1.5
4.0,INF,50.0,1.5
4.5,INF,50.0,1.5
5.0,INF,50.0,1.5
5.5,INF,50.0,1.5
6.0,INF,50.0,1.5
6.5,INF,50.0,1.5
7.0,INF,50.0,1.5
7.5,INF,50.0,1.5
8.0,INF,50.0,1.5
8.5,INF,43.14858531976638,1.5
9.0,INF,50.0,1.5
9.5,INF,50.0,1.5
10.0,INF,50.0,1.5
0.0,MED,13.985497577432364,3.0
0.5,MED,16.975194906834226,3.0
1.0,MED,19.701361441869174,3.0
1.5,MED,24.485234624257764,3.0
2.0,MED,17.008445369141036,3.0
2.5,MED,23.68145039783129,3.0
3.0,MED,16.4009376976695,3.0
3.5,MED,22.5810667253211,3.0
4.0,MED,18.885212434771603,3.0
4.5,MED,13.40174392770462,3.0
5.0,MED,9.533399283537364,3.0
5.5,MED,7.372768585008726,3.0
6.0,MED,9.11579304826618,3.0
6.5,MED,7.093296479560602,3.0
7.0,MED,5.486927581145323,3.0
7.5,MED,4.310173018865058,3.0
8.0,MED,3.356694665914408,3.0
8.5,MED,2.588257677952472,3.0
9.0,MED,1.9727316101365424,3.0
9.5,MED,1.515334606900859,3.0
10.0,MED,1.1448557310334182,3.0
0.0,SUP,50.0,1.9
0.5,SUP,50.0,1.9
1.0,SUP,50.0,1.9
1.5,SUP,50.0,1.9
2.0,SUP,50.0,1.9
2.5,SUP,50.0,1.9
3.0,SUP,50.0,1.9
3.5,SUP,50.0,1.9
4.0,SUP,50.0,1.9
4.5,SUP,50.0,1.9
5.0,SUP,50.0,1.9
5.5,SUP,50.0,1.9
6.0,SUP,50.0,1.9
6.5,SUP,50.0,1.9
7.0,SUP,50.0,1.9
7.5,SUP,50.0,1.9
8.0,SUP,50.0,1.9
8.5,SUP,50.0,1.9
9.0,SUP,38.02427949643601,1.9
9.5,SUP,29.20061730438896,1.9
10.0,SUP,22.05602537671769,1.9
