z_mid,sigma,tau,time_yr
0.12,3.480917419603946,0.1865179341786659,0.0
0.24,4.158833776964318,0.1993750273770027,0.0
0.36,4.823324082660651,0.2129242700912365,0.0
0.48,5.470566748323145,0.2275361639350268,0.0
0.6,6.0942862666835005,0.2416311478283568,0.0
0.72,6.732840543506947,0.2568835723016779,0.0
0.12,1.9910300880698144,0.1744699594850036,5.0
0.24,2.283002634456299,0.1559605189680409,5.0
0.36,2.554225196057127,0.140537836712237,5.0
0.48,2.8031413985480285,0.127140158459044,5.0
0.6,3.3425451797982517,0.1140718381287741,5.0
0.72,3.9859224555028634,0.1009652307460119,5.0
0.12,3.4143566778024708,0.3316028851910335,10.0
0.24,3.915084065259137,0.2962288091618395,10.0
0.36,4.380230266443956,0.2667460798434804,10.0
0.48,4.807122215475941,0.2411216738055822,10.0
0.6,5.730743019187741,0.2161177024963842,10.0
0.72,6.834251656944037,0.1910623941322922,10.0
