segment,hydro_scenario,degradation_scenario,time_yr,element,x_mid_m,is_node_zone,q_effective_N_m,deflection_mm,sigma_bending_MPa,tau_shear_MPa,failure_index,failure_mode,E_L_GPa,sigma_t_ult_MPa,tau_ult_MPa,sed_fill_pct,veg_factor,deg_factor,defl_span_ratio,wall_thickness_mm
SUP,median,optimistic,0.0,0,0.035,False,174.7167,0.049,0.07084,0.072879,5.3e-05,shear,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,1,0.105,False,174.7167,0.0969,0.20487,0.066895,4.6e-05,shear,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,2,0.175,False,174.7167,0.1426,0.327425,0.060912,4e-05,shear,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,3,0.245,False,174.7167,0.1852,0.438504,0.054928,3.6e-05,shear,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,4,0.285,True,174.7167,0.191,0.895129,0.092716,0.000228,shear,12.0,180.0,6.5,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,5,0.295,True,174.7167,0.1967,0.92032,0.091177,0.000223,shear,12.0,180.0,6.5,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,6,0.335,False,174.7167,0.234,0.564458,0.047235,3.2e-05,shear,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,7,0.405,False,174.7167,0.2663,0.649307,0.041251,3e-05,shear,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,8,0.475,False,174.7167,0.2931,0.722681,0.035267,2.9e-05,bending,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,9,0.545,False,174.7167,0.3136,0.784579,0.029284,2.8e-05,bending,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,10,0.585,True,174.7167,0.316,1.467477,0.046556,0.000118,bending,12.0,180.0,6.5,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,11,0.595,True,174.7167,0.3183,1.480021,0.045017,0.000116,bending,12.0,180.0,6.5,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,12,0.635,False,174.7167,0.3303,0.8473,0.02159,2.7e-05,bending,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,13,0.705,False,174.7167,0.3352,0.882968,0.015607,2.6e-05,bending,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,14,0.775,False,174.7167,0.3328,0.901328,0.002543,2.5e-05,bending,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,15,0.845,False,174.7167,0.3231,0.873216,0.020692,2.8e-05,bending,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,16,0.885,True,174.7167,0.3211,1.528443,0.0434,0.000117,bending,12.0,180.0,6.5,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,17,0.895,True,174.7167,0.319,1.516341,0.044938,0.000119,bending,12.0,180.0,6.5,0.0,0.018,1.0,0.000223,15.0
