segment,hydro_scenario,degradation_scenario,time_yr,max_FI,safety_factor,max_sigma_MPa,max_tau_MPa,max_defl_mm,q_total_N_m,deg_factor,veg_factor,wall_mm
SUP,median,optimistic,0.0,0.000228,999.0,0.8951,0.0927,0.3352,174.7167,1.0,0.018,15.0
SUP,median,optimistic,0.5,0.000168,999.0,0.7416,0.0786,0.2855,135.0465,0.9851,0.0474,14.5
SUP,median,optimistic,1.0,0.000125,999.0,0.6634,0.0664,0.2441,103.5094,0.9704,0.1192,14.0
SUP,median,optimistic,1.5,0.000105,999.0,0.587,0.0599,0.2206,86.0464,0.956,0.2689,13.5
SUP,median,optimistic,2.0,9.1e-05,999.0,0.5318,0.0551,0.2035,74.686,0.9418,0.5,13.0
SUP,median,optimistic,2.5,8.7e-05,999.0,0.5083,0.0532,0.1972,70.2344,0.9277,0.7311,12.5
SUP,median,optimistic,3.0,9.1e-05,999.0,0.5079,0.0535,0.1996,69.4926,0.9139,0.8808,12.0
SUP,median,optimistic,3.5,0.0001,999.0,0.5208,0.0553,0.2074,70.2018,0.9003,0.9526,11.5
SUP,median,optimistic,4.0,0.000114,999.0,0.5436,0.0582,0.2194,71.9813,0.8869,0.982,11.0
SUP,median,optimistic,4.5,0.00013,999.0,0.568,0.0614,0.2324,73.4405,0.8737,0.9933,10.5
SUP,median,optimistic,5.0,0.00015,999.0,0.5973,0.0651,0.2478,75.2435,0.8607,0.9975,10.0
SUP,median,optimistic,5.5,0.000172,999.0,0.6238,0.0687,0.2625,76.0521,0.8479,0.9991,9.5
SUP,median,optimistic,6.0,0.000198,999.0,0.6539,0.0727,0.2792,76.9558,0.8353,0.9997,9.0
SUP,median,optimistic,6.5,0.000227,999.0,0.6335,0.0772,0.2957,77.0088,0.8228,0.9999,8.5
SUP,median,optimistic,7.0,0.000261,999.0,0.6633,0.0817,0.3143,77.0772,0.8106,1.0,8.0
SUP,median,optimistic,7.5,0.000301,999.0,0.6941,0.0865,0.334,76.6731,0.7985,1.0,7.5
SUP,median,optimistic,8.0,0.000349,999.0,0.7296,0.0919,0.3564,76.2649,0.7866,1.0,7.0
SUP,median,optimistic,8.5,0.00041,999.0,0.7707,0.0981,0.3824,75.8526,0.7749,1.0,6.5
SUP,median,optimistic,9.0,0.000486,999.0,0.819,0.1054,0.4126,75.4362,0.7634,1.0,6.0
SUP,median,optimistic,9.5,0.00058,999.0,0.8721,0.1134,0.4463,74.5089,0.752,1.0,5.5
SUP,median,optimistic,10.0,0.000703,999.0,1.0088,0.1224,0.4867,73.571,0.7408,1.0,5.0
SUP,median,baseline,0.0,0.000228,999.0,0.8951,0.0927,0.3352,174.7167,1.0,0.018,15.0
SUP,median,baseline,0.5,0.000173,999.0,0.7416,0.0786,0.2898,135.0465,0.9704,0.0474,14.5
SUP,median,baseline,1.0,0.000133,999.0,0.6634,0.0664,0.2515,103.5094,0.9418,0.1192,14.0
SUP,median,baseline,1.5,0.000114,999.0,0.587,0.0599,0.2308,86.0464,0.9139,0.2689,13.5
SUP,median,baseline,2.0,0.000102,999.0,0.5318,0.0551,0.2161,74.686,0.8869,0.5,13.0
SUP,median,baseline,2.5,0.000101,999.0,0.5083,0.0532,0.2126,70.2344,0.8607,0.7311,12.5
SUP,median,baseline,3.0,0.000109,999.0,0.5079,0.0535,0.2184,69.4926,0.8353,0.8808,12.0
SUP,median,baseline,3.5,0.000123,999.0,0.5208,0.0553,0.2303,70.2018,0.8106,0.9526,11.5
SUP,median,baseline,4.0,0.000144,999.0,0.5436,0.0582,0.2473,71.9813,0.7866,0.982,11.0
SUP,median,baseline,4.5,0.00017,999.0,0.568,0.0614,0.266,73.4405,0.7634,0.9933,10.5
SUP,median,baseline,5.0,0.000203,999.0,0.5973,0.0651,0.2879,75.2435,0.7408,0.9975,10.0
SUP,median,baseline,5.5,0.000239,999.0,0.6238,0.0687,0.3096,76.0521,0.7189,0.9991,9.5
SUP,median,baseline,6.0,0.000284,999.0,0.6539,0.0727,0.3343,76.9558,0.6977,0.9997,9.0
SUP,median,baseline,6.5,0.000335,999.0,0.6335,0.0772,0.3594,77.0088,0.6771,0.9999,8.5
SUP,median,baseline,7.0,0.000398,999.0,0.6633,0.0817,0.3877,77.0772,0.657,1.0,8.0
SUP,median,baseline,7.5,0.000472,999.0,0.6941,0.0865,0.4182,76.6731,0.6376,1.0,7.5
