span_m,v_flow_ms,time_yr,max_FI,safety_factor,failure_mode,max_defl_mm,defl_span_ratio,q_total_N_m,deg_factor
1.0,0.5,0,0.000306,3266.48,shear,0.117,0.000117,322.8867,1.0
1.0,0.5,2,0.000103,9687.81,shear,0.0656,6.6e-05,116.5521,0.8869
1.0,0.5,5,0.000271,3691.65,shear,0.0996,0.0001,141.1632,0.7408
1.0,0.5,8,0.000839,1191.21,shear,0.1648,0.000165,153.1795,0.6188
1.0,0.5,10,0.001988,503.04,shear,0.2436,0.000244,152.2031,0.5488
1.0,1.0,0,0.00052,1924.88,shear,0.1531,0.000153,367.5629,1.0
1.0,1.0,2,0.000217,4603.15,shear,0.0958,9.6e-05,133.3205,0.8869
1.0,1.0,5,0.000455,2198.14,shear,0.1299,0.00013,145.106,0.7408
1.0,1.0,8,0.001353,739.05,shear,0.2105,0.000211,155.2258,0.6188
1.0,1.0,10,0.003205,312.05,shear,0.3112,0.000311,153.9794,0.5488
1.0,1.5,0,0.000864,1157.3,shear,0.1978,0.000198,442.0233,1.0
1.0,1.5,2,0.000401,2491.33,shear,0.1299,0.00013,161.2679,0.8869
1.0,1.5,5,0.000699,1431.43,shear,0.1614,0.000161,151.6773,0.7408
1.0,1.5,8,0.002006,498.54,shear,0.2573,0.000257,158.6364,0.6188
1.0,1.5,10,0.004746,210.71,shear,0.3801,0.00038,156.9399,0.5488
1.0,2.0,0,0.001392,718.61,shear,0.2512,0.000251,546.2679,1.0
1.0,2.0,2,0.000673,1486.03,shear,0.1679,0.000168,200.3942,0.8869
1.0,2.0,5,0.001021,979.7,shear,0.1944,0.000194,160.8772,0.7408
1.0,2.0,8,0.002839,352.23,shear,0.3051,0.000305,163.4111,0.6188
1.0,2.0,10,0.006708,149.08,shear,0.4504,0.00045,161.0846,0.5488
1.0,2.5,0,0.002164,462.11,shear,0.3133,0.000313,680.2967,1.0
1.0,2.5,2,0.001052,950.42,shear,0.21,0.00021,250.6995,0.8869
1.0,2.5,5,0.001419,704.49,shear,0.2286,0.000229,172.7056,0.7408
1.0,2.5,8,0.003847,259.94,shear,0.354,0.000354,169.5501,0.6188
1.0,2.5,10,0.009073,110.21,shear,0.5221,0.000522,166.4136,0.5488
1.0,3.0,0,0.003253,307.36,shear,0.384,0.000384,844.1096,1.0
1.0,3.0,2,0.001562,640.17,shear,0.256,0.000256,312.1837,0.8869
1.0,3.0,5,0.001902,525.76,shear,0.2642,0.000264,187.1626,0.7408
1.0,3.0,8,0.005034,198.67,shear,0.404,0.000404,177.0533,0.6188
1.0,3.0,10,0.011848,84.4,shear,0.5952,0.000595,172.9267,0.5488
1.0,3.5,0,0.004743,210.86,shear,0.4634,0.000463,1037.7067,1.0
1.0,3.5,2,0.002228,448.88,shear,0.306,0.000306,384.8468,0.8869
1.0,3.5,5,0.002476,403.9,shear,0.3011,0.000301,204.2481,0.7408
1.0,3.5,8,0.006408,156.06,shear,0.4551,0.000455,185.9207,0.6188
1.0,3.5,10,0.015052,66.44,shear,0.6696,0.00067,180.6241,0.5488
1.0,4.0,0,0.006724,148.73,shear,0.5515,0.000551,1261.0879,1.0
1.0,4.0,2,0.003076,325.05,shear,0.36,0.00036,468.689,0.8869
1.0,4.0,5,0.003149,317.6,shear,0.3393,0.000339,223.9621,0.7408
1.0,4.0,8,0.00798,125.31,shear,0.5072,0.000507,196.1523,0.6188
1.0,4.0,10,0.018704,53.46,shear,0.7455,0.000745,189.5057,0.5488
1.0,4.5,0,0.0093,107.52,shear,0.6482,0.000648,1514.2533,1.0
1.0,4.5,2,0.004137,241.71,shear,0.418,0.000418,563.71,0.8869
1.0,4.5,5,0.003928,254.56,shear,0.3789,0.000379,246.3047,0.7408
1.0,4.5,8,0.00976,102.46,shear,0.5604,0.00056,207.7482,0.6188
1.0,4.5,10,0.022826,43.81,shear,0.8227,0.000823,199.5715,0.5488
1.0,5.0,0,0.012585,79.46,shear,0.7535,0.000754,1797.2029,1.0
1.0,5.0,2,0.005458,183.21,shear,0.4799,0.00048,669.91,0.8869
1.0,5.0,5,0.004823,207.32,shear,0.4198,0.00042,271.2757,0.7408
1.0,5.0,8,0.011758,85.05,shear,0.6147,0.000615,220.7082,0.6188
1.0,5.0,10,0.027438,36.45,shear,0.9014,0.000901,210.8215,0.5488
1.0,5.5,0,0.016702,59.87,shear,0.8676,0.000868,2109.9366,1.0
1.0,5.5,2,0.007071,141.43,shear,0.5459,0.000546,787.289,0.8869
1.0,5.5,5,0.005842,171.17,shear,0.462,0.000462,298.8754,0.7408
1.0,5.5,8,0.013985,71.51,shear,0.6701,0.00067,235.0325,0.6188
1.0,5.5,10,0.032561,30.71,shear,0.9814,0.000981,223.2557,0.5488
1.0,6.0,0,0.021783,45.91,shear,0.9903,0.00099,2452.4545,1.0
1.0,6.0,2,0.009009,111.0,shear,0.6158,0.000616,915.8468,0.8869
1.0,6.0,5,0.006993,143.0,shear,0.5056,0.000506,329.1035,0.7408
1.0,6.0,8,0.016451,60.79,shear,0.7265,0.000727,250.721,0.6188
1.0,6.0,10,0.038216,26.17,shear,1.0628,0.001063,236.8741,0.5488
1.0,6.5,0,0.027975,35.75,shear,1.1216,0.001122,2824.7566,1.0
1.0,6.5,2,0.011315,88.37,shear,0.6896,0.00069,1055.5837,0.8869
1.0,6.5,5,0.008286,120.69,shear,0.5504,0.00055,361.9603,0.7408
1.0,6.5,8,0.019166,52.18,shear,0.784,0.000784,267.7737,0.6188
1.0,6.5,10,0.044426,22.51,shear,1.1456,0.001146,251.6767,0.5488
1.0,7.0,0,0.035429,28.23,shear,1.2616,0.001262,3226.8428,1.0
1.0,7.0,2,0.014032,71.27,shear,0.7675,0.000767,1206.4995,0.8869
1.0,7.0,5,0.009729,102.78,shear,0.5966,0.000597,397.4455,0.7408
1.0,7.0,8,0.022143,45.16,shear,0.8426,0.000843,286.1906,0.6188
1.0,7.0,10,0.051212,19.53,shear,1.2297,0.00123,267.6636,0.5488
1.0,7.5,0,0.044311,22.57,shear,1.4103,0.00141,3658.7132,1.0
1.0,7.5,2,0.017204,58.13,shear,0.8493,0.000849,1368.5942,0.8869
1.0,7.5,5,0.011333,88.24,shear,0.6442,0.000644,435.5593,0.7408
1.0,7.5,8,0.025391,39.38,shear,0.9023,0.000902,305.9717,0.6188
1.0,7.5,10,0.058597,17.07,shear,1.3153,0.001315,284.8346,0.5488
1.0,8.0,0,0.054796,18.25,shear,1.5676,0.001568,4120.3678,1.0
1.0,8.0,2,0.020879,47.9,shear,0.9351,0.000935,1541.8679,0.8869
1.0,8.0,5,0.013107,76.3,shear,0.693,0.000693,476.3016,0.7408
1.0,8.0,8,0.028923,34.57,shear,0.963,0.000963,327.1171,0.6188
1.0,8.0,10,0.066604,15.01,shear,1.4022,0.001402,303.1899,0.5488
1.5,0.5,0,0.000628,1593.22,shear,0.5533,0.000369,322.8867,1.0
