Metric,Field (talude),Synthetic (Test 5),Model (K_plint)
$\delta$ (amplification factor),0.102,2.71,8.85
"$K_{\mathrm{obs}}$ (t\,h\,MJ$^{-1}$\,mm$^{-1}$)",0.0036,0.058--0.116,—
"$K_{\mathrm{RUSLE}}$ (t\,h\,MJ$^{-1}$\,mm$^{-1}$)",0.035,0.035,0.035
$C \cdot P$ (cover-management),0.428,1.0 (assumed),1.0 (assumed)
Ramp / plot length (m),2.40,22.13,22.13
$LS$ factor,1.91,1.0 (standard),1.0 (standard)
Runoff gauging,No,No (synthetic),No (synthetic)
$EI_{30}$ source,Scaled by interval P,Synthetic $I_{30}$,Synthetic $I_{30}$
Replicates,"7 (bare), 2 (palisades)",42 virtual plots,—
Monitoring period,May--Nov 2025,Synthetic events,—
