key,status,bib_type,bib_year,crossref_year,bib_doi,crossref_doi,similarity,bib_title,crossref_title,note
Chen_2024,OK_CROSSREF,article,2025,2025,10.1016/j.iswcr.2024.07.003,10.1016/j.iswcr.2024.07.003,1.000,Feedback mechanism between gully landforms and sediment trapping efficiency in a check dam,Feedback mechanism between gully landforms and sediment trapping efficiency in a check dam,DOI confirmado no Crossref.
Mira_Evette_2021,OK_CROSSREF,article,2021,2021,10.26525/jtfs2021.33.3.333,10.26525/jtfs2021.33.3.333,1.000,Investigation of the asexual reproductive characteristics of native species for soil bioengineering in the West Indies,INVESTIGATION OF THE ASEXUAL REPRODUCTIVE CHARACTERISTICS OF NATIVE SPECIES FOR SOIL BIOENGINEERING IN THE WEST INDIES,DOI confirmado no Crossref.
acharya_2018,OK_CROSSREF,incollection,2018,2018,10.5772/intechopen.75626,10.5772/intechopen.75626,1.000,The use of bamboo for erosion control and slope stabilization: Soil bioengineering works,The Use of Bamboo for Erosion Control and Slope Stabilization: Soil Bioengineering Works,DOI confirmado no Crossref.
akita_et_al_2014,OK_CROSSREF,article,2014,2014,10.1007/s10310-013-0434-x,10.1007/s10310-013-0434-x,1.000,Effect of climate and structure on the progression of wooden check dam decay,Effect of climate and structure on the progression of wooden check dam decay,DOI confirmado no Crossref.
antonio_2021_avaliacao_de_eficiencia_da_,OK_CROSSREF,article,2021,2021,10.26848/rbgf.v14.6.p3417-3432,10.26848/rbgf.v14.6.p3417-3432,1.000,Avaliação de eficiência da implantação de técnica de bioengenharia de solos,Avaliação de eficiência da implantação de técnica de bioengenharia de solos,DOI confirmado no Crossref.
azambuja_missura_araujo_2024,OK_METADATA_NO_DOI,incollection,2024,,,,,Geomorphology of Sergipe State,,"Sem DOI, mas com metadados suficientes."
bantie_et_al_2025,OK_CROSSREF,article,2025,2025,10.1016/j.bamboo.2025.100172,10.1016/j.bamboo.2025.100172,0.755,Physical and mechanical properties of highland bamboo (Oldeania alpina) landraces and culm sections,"Physical and mechanical properties of highland bamboo (Oldeania alpina (K.Schum.) Stapleton) landraces and culm sections growing at Banja District, Northwest Ethiopia",DOI confirmado no Crossref.
bernardo_et_al_2008,OK_METADATA_NO_DOI,book,2008,,,,,Manual de Irrigação,,"Sem DOI, mas com metadados suficientes."
bhat_2003,OK_CROSSREF,article,2003,2003,10.1163/156915903322320766,10.1163/156915903322320766,1.000,Anatomical changes during culm maturation in Bambusa bambos (L.) Voss and Dendrocalamus strictus Nees,Anatomical changes during culm maturation in Bambusa bambos (L.) Voss and Dendrocalamus strictus Nees,DOI confirmado no Crossref.
bolfe_et_al_2024,OK_CROSSREF,article,2021,2021,10.1098/rsos.201854,10.1098/rsos.201854,1.000,Degraded pastures in Brazil: improving livestock production and forest restoration,Degraded pastures in Brazil: improving livestock production and forest restoration,DOI confirmado no Crossref.
bombino_et_al_2019,OK_CROSSREF,article,2019,2019,10.1016/j.scitotenv.2018.12.045,10.1016/j.scitotenv.2018.12.045,1.000,Assessment of riparian vegetation characteristics in Mediterranean headwaters regulated by check dams using multivariate statistical techniques,Assessment of riparian vegetation characteristics in Mediterranean headwaters regulated by check dams using multivariate statistical techniques,DOI confirmado no Crossref.
borrelli_et_al_2017,OK_CROSSREF,article,2017,2017,10.1038/s41467-017-02142-7,10.1038/s41467-017-02142-7,1.000,An assessment of the global impact of 21st century land use change on soil erosion,An assessment of the global impact of 21st century land use change on soil erosion,DOI confirmado no Crossref.
brito_paes_oliveira_2020,OK_CROSSREF,article,2020,2020,10.1016/j.conbuildmat.2020.120033,10.1016/j.conbuildmat.2020.120033,1.000,Chemical characterization and biological resistance of thermally treated bamboo,Chemical characterization and biological resistance of thermally treated bamboo,DOI confirmado no Crossref.
