data_coleta,data_inicio_intervalo,n_dias_intervalo,n_dias_chuvosos,P_intervalo_mm,P_max_dia_mm,med_LIMPO_g,med_PEDRA_g,razao_LIMPO_PEDRA
2025-05-13,2025-04-01,42,17,275.245,29.700,254.607,47.875,5.318
2025-05-21,2025-05-13,8,0,0.000,0.000,914.581,513.170,1.782
2025-05-29,2025-05-21,8,3,62.446,29.700,31.154,9.445,3.298
2025-06-12,2025-05-29,14,7,104.547,21.300,169.429,62.495,2.711
2025-06-17,2025-06-12,5,0,0.000,0.000,272.129,99.730,2.729
2025-06-26,2025-06-17,9,4,46.696,18.431,38.891,15.625,2.489
2025-07-01,2025-06-26,5,4,40.973,21.300,78.276,25.765,3.038
2025-07-10,2025-07-01,9,6,29.201,17.116,38.817,12.945,2.999
2025-07-25,2025-07-10,15,7,59.214,17.250,122.159,51.150,2.388
2025-08-08,2025-07-25,14,6,38.308,17.250,246.987,65.305,3.782
2025-08-14,2025-08-08,6,2,16.956,11.050,41.787,16.465,2.538
2025-08-19,2025-08-14,5,2,2.949,1.924,55.497,33.880,1.638
2025-09-10,2025-08-19,22,10,62.169,10.083,39.747,8.850,4.491
2025-10-30,2025-09-10,50,17,89.789,10.200,76.519,47.450,1.613
2025-11-24,2025-10-30,25,6,18.096,6.502,15.764,14.290,1.103
