tratamento,parcela,numero_parcela,codigo_parcela,coleta_seq,coleta,data,sedimento_g,observacao_celula_original
LIMPO,4- 4.1 LIMPO,4,4.1,1,1A,2025-05-13,94.82,94.82
LIMPO,4- 4.1 LIMPO,4,4.1,2,2A,2025-05-21,1039.78,"1039,78 (3 filtros)"
LIMPO,4- 4.1 LIMPO,4,4.1,3,3A,2025-05-29,35.51,35.51
LIMPO,4- 4.1 LIMPO,4,4.1,4,4A,2025-06-12,247.29,"4-  247,29"
LIMPO,4- 4.1 LIMPO,4,4.1,5,5A,2025-06-17,321.74,"4- 321,74"
LIMPO,4- 4.1 LIMPO,4,4.1,6,6A,2025-06-26,42.96,"4- 42,96"
LIMPO,4- 4.1 LIMPO,4,4.1,7,7A,2025-07-01,97.36,"4- 97,36"
LIMPO,4- 4.1 LIMPO,4,4.1,8,8A,2025-07-10,78.55,"4- 78,55"
LIMPO,4- 4.1 LIMPO,4,4.1,9,9A,2025-07-25,219.06,"4 - 219,06"
LIMPO,4- 4.1 LIMPO,4,4.1,10,10A,2025-08-08,336.54,"4- 336,54 (4f)"
LIMPO,4- 4.1 LIMPO,4,4.1,11,11A,2025-08-14,14.77,"4- 14,77"
LIMPO,4- 4.1 LIMPO,4,4.1,12,12A,2025-08-19,9.24,"4- 9,24"
LIMPO,4- 4.1 LIMPO,4,4.1,13,13A,2025-09-10,21.87,"4- 21,87"
LIMPO,4- 4.1 LIMPO,4,4.1,14,14A,2025-10-30,49.4,"4- 49,4"
LIMPO,4- 4.1 LIMPO,4,4.1,15,15A,2025-11-24,8.83,"4- 8,83"
LIMPO,8- 4.2 LIMPO,8,4.2,1,1A,2025-05-13,98.78,98.78
LIMPO,8- 4.2 LIMPO,8,4.2,2,2A,2025-05-21,774.05,"774,05 (3 filtros)"
LIMPO,8- 4.2 LIMPO,8,4.2,3,3A,2025-05-29,13.95,13.95
LIMPO,8- 4.2 LIMPO,8,4.2,4,4A,2025-06-12,107.58,"8- 107,58"
LIMPO,8- 4.2 LIMPO,8,4.2,5,5A,2025-06-17,302.15,"8- 302,15"
LIMPO,8- 4.2 LIMPO,8,4.2,6,6A,2025-06-26,43.95,"8- 43,95"
LIMPO,8- 4.2 LIMPO,8,4.2,7,7A,2025-07-01,123.52,"8- 123,52"
LIMPO,8- 4.2 LIMPO,8,4.2,8,8A,2025-07-10,24.72,"8- 24,72"
LIMPO,8- 4.2 LIMPO,8,4.2,9,9A,2025-07-25,144.07,"8- 144,07"
LIMPO,8- 4.2 LIMPO,8,4.2,10,10A,2025-08-08,171.58,"8- 171,58"
LIMPO,8- 4.2 LIMPO,8,4.2,11,11A,2025-08-14,37.93,"8- 37,93"
LIMPO,8- 4.2 LIMPO,8,4.2,12,12A,2025-08-19,49.01,"8- 49,01"
LIMPO,8- 4.2 LIMPO,8,4.2,13,13A,2025-09-10,49.79,"8- 49,79"
LIMPO,8- 4.2 LIMPO,8,4.2,14,14A,2025-10-30,0.7,"8- 0,7"
LIMPO,8- 4.2 LIMPO,8,4.2,15,15A,2025-11-24,7.38,"8- 7,38"
LIMPO,11- 4.3 LIMPO,11,4.3,1,1A,2025-05-13,172.62,172.62
LIMPO,11- 4.3 LIMPO,11,4.3,2,2A,2025-05-21,700.41,"700,41 (2 filtros)"
LIMPO,11- 4.3 LIMPO,11,4.3,3,3A,2025-05-29,10.62,10.62
LIMPO,11- 4.3 LIMPO,11,4.3,4,4A,2025-06-12,30.81,"11- 30,81"
LIMPO,11- 4.3 LIMPO,11,4.3,5,5A,2025-06-17,278.04,"11- 278,04"
LIMPO,11- 4.3 LIMPO,11,4.3,6,6A,2025-06-26,46.28,"11- 46,28"
LIMPO,11- 4.3 LIMPO,11,4.3,7,7A,2025-07-01,100.01,"11- 100,01"
